,SMILES,SMILES_opp,TR/TE,F/L_class,@/@@_class,R/S_class
2095,CCCCCCCCc1cnc2c(c1)CC[C@]2(C#N)Cc1ccc(OC)cc1,CCCCCCCCc1cnc2c(c1)CC[C@@]2(C#N)Cc1ccc(OC)cc1,TR,F,@,S
2096,CCCCCCCCCCC#CC[C@@]1(C)CN(Cc2ccc(OC)cc2)C(=O)c2ccccc21,CCCCCCCCCCC#CC[C@]1(C)CN(Cc2ccc(OC)cc2)C(=O)c2ccccc21,TR,F,@@,R
2097,CCCCCCCCCCC#CC[C@]1(C)CN(Cc2ccc(OC)cc2)C(=O)c2ccccc21,CCCCCCCCCCC#CC[C@@]1(C)CN(Cc2ccc(OC)cc2)C(=O)c2ccccc21,TR,L,@,S
2098,CCCCCCCCCCCC[S@@](=O)c1ccc(-c2nc3ccccc3o2)cc1,CCCCCCCCCCCC[S@](=O)c1ccc(-c2nc3ccccc3o2)cc1,TR,F,@@,R
2099,CCCCCCCCCCCC[S@](=O)c1ccc(-c2nc3ccccc3o2)cc1,CCCCCCCCCCCC[S@@](=O)c1ccc(-c2nc3ccccc3o2)cc1,TR,L,@,S
2100,CCCCCCCCCCCC[S@@](=O)c1ccc([N+](=O)[O-])cc1,CCCCCCCCCCCC[S@](=O)c1ccc([N+](=O)[O-])cc1,TR,F,@@,R
2101,CCCCCCCCCCCC[S@](=O)c1ccc([N+](=O)[O-])cc1,CCCCCCCCCCCC[S@@](=O)c1ccc([N+](=O)[O-])cc1,TR,L,@,S
2102,CCCCCCCCCCCC[S@@](=O)c1ccc(C(=O)c2ccc(OC(C)(C)C(=O)OC(C)C)cc2)cc1,CCCCCCCCCCCC[S@](=O)c1ccc(C(=O)c2ccc(OC(C)(C)C(=O)OC(C)C)cc2)cc1,TR,F,@@,R
2103,CCCCCCCCCCCC[S@](=O)c1ccc(C(=O)c2ccc(OC(C)(C)C(=O)OC(C)C)cc2)cc1,CCCCCCCCCCCC[S@@](=O)c1ccc(C(=O)c2ccc(OC(C)(C)C(=O)OC(C)C)cc2)cc1,TR,L,@,S
2104,CCCCCCCCCCCC[S@@](=O)c1ccc(C(C)=O)cc1,CCCCCCCCCCCC[S@](=O)c1ccc(C(C)=O)cc1,TR,F,@@,R
2105,CCCCCCCCCCCC[S@](=O)c1ccc(C(C)=O)cc1,CCCCCCCCCCCC[S@@](=O)c1ccc(C(C)=O)cc1,TR,L,@,S
2106,CCCCCCCCCCCC[S@@](=O)c1ccc(C(F)(F)F)cc1,CCCCCCCCCCCC[S@](=O)c1ccc(C(F)(F)F)cc1,TR,F,@@,R
2107,CCCCCCCCCCCC[S@](=O)c1ccc(C(F)(F)F)cc1,CCCCCCCCCCCC[S@@](=O)c1ccc(C(F)(F)F)cc1,TR,L,@,S
2108,CCCCCCCCCCCC[S@@](=O)c1ccc(C=O)cc1,CCCCCCCCCCCC[S@](=O)c1ccc(C=O)cc1,TR,F,@@,R
2109,CCCCCCCCCCCC[S@](=O)c1ccc(C=O)cc1,CCCCCCCCCCCC[S@@](=O)c1ccc(C=O)cc1,TR,L,@,S
2110,CCCCCCCCCCCC[S@@](=O)c1ccc(Cl)cc1,CCCCCCCCCCCC[S@](=O)c1ccc(Cl)cc1,TR,F,@@,R
2111,CCCCCCCCCCCC[S@](=O)c1ccc(Cl)cc1,CCCCCCCCCCCC[S@@](=O)c1ccc(Cl)cc1,TR,L,@,S
2112,CCCCCCCCCCCC[S@@](=O)c1ccc(OC(C)(C)C(=O)OCC)cc1,CCCCCCCCCCCC[S@](=O)c1ccc(OC(C)(C)C(=O)OCC)cc1,TR,F,@@,R
2113,CCCCCCCCCCCC[S@](=O)c1ccc(OC(C)(C)C(=O)OCC)cc1,CCCCCCCCCCCC[S@@](=O)c1ccc(OC(C)(C)C(=O)OCC)cc1,TR,L,@,S
2114,CCCCCCCCCCCC[S@@](=O)c1ccc(OC)cc1,CCCCCCCCCCCC[S@](=O)c1ccc(OC)cc1,TR,F,@@,R
2115,CCCCCCCCCCCC[S@](=O)c1ccc(OC)cc1,CCCCCCCCCCCC[S@@](=O)c1ccc(OC)cc1,TR,L,@,S
2116,CCCCCCCCCCCC[S@@](=O)c1ccc2c(c1)c1ccccc1n2C(=O)OC(C)(C)C,CCCCCCCCCCCC[S@](=O)c1ccc2c(c1)c1ccccc1n2C(=O)OC(C)(C)C,TR,F,@@,R
2117,CCCCCCCCCCCC[S@](=O)c1ccc2c(c1)c1ccccc1n2C(=O)OC(C)(C)C,CCCCCCCCCCCC[S@@](=O)c1ccc2c(c1)c1ccccc1n2C(=O)OC(C)(C)C,TR,L,@,S
2118,CCCCCCCCCCCC[S@@](=O)c1ccc2c(c1)OCCO2,CCCCCCCCCCCC[S@](=O)c1ccc2c(c1)OCCO2,TR,F,@@,R
2119,CCCCCCCCCCCC[S@](=O)c1ccc2c(c1)OCCO2,CCCCCCCCCCCC[S@@](=O)c1ccc2c(c1)OCCO2,TR,L,@,S
2120,CCCCCCCCCCCC[S@@](=O)c1ccc2c(ccn2C(=O)OC(C)(C)C)c1,CCCCCCCCCCCC[S@](=O)c1ccc2c(ccn2C(=O)OC(C)(C)C)c1,TR,F,@@,R
2121,CCCCCCCCCCCC[S@](=O)c1ccc2c(ccn2C(=O)OC(C)(C)C)c1,CCCCCCCCCCCC[S@@](=O)c1ccc2c(ccn2C(=O)OC(C)(C)C)c1,TR,L,@,S
2122,CCCCCCCCCCCC[S@@](=O)c1ccc2nc(C)ccc2c1,CCCCCCCCCCCC[S@](=O)c1ccc2nc(C)ccc2c1,TR,F,@@,R
2123,CCCCCCCCCCCC[S@](=O)c1ccc2nc(C)ccc2c1,CCCCCCCCCCCC[S@@](=O)c1ccc2nc(C)ccc2c1,TR,L,@,S
2124,CCCCC[S@@](=O)c1ccc(C=O)cc1,CCCCC[S@](=O)c1ccc(C=O)cc1,TR,F,@@,R
2125,CCCCC[S@](=O)c1ccc(C=O)cc1,CCCCC[S@@](=O)c1ccc(C=O)cc1,TR,L,@,S
2126,CCCCO[C@H](c1ccc(-c2ccccc2)cc1)c1ccccc1O,CCCCO[C@@H](c1ccc(-c2ccccc2)cc1)c1ccccc1O,TR,L,@,R
2127,CCCCO[C@@H](c1ccc(-c2ccccc2)cc1)c1ccccc1O,CCCCO[C@H](c1ccc(-c2ccccc2)cc1)c1ccccc1O,TR,F,@@,S
2128,CCCCO[C@H](c1ccc(Cl)cc1)c1ccccc1O,CCCCO[C@@H](c1ccc(Cl)cc1)c1ccccc1O,TR,L,@,R
2129,CCCCO[C@@H](c1ccc(Cl)cc1)c1ccccc1O,CCCCO[C@H](c1ccc(Cl)cc1)c1ccccc1O,TR,F,@@,S
2130,CCCCO[C@H](c1ccc(SC)cc1)c1ccccc1O,CCCCO[C@@H](c1ccc(SC)cc1)c1ccccc1O,TR,L,@,R
2131,CCCCO[C@@H](c1ccc(SC)cc1)c1ccccc1O,CCCCO[C@H](c1ccc(SC)cc1)c1ccccc1O,TR,F,@@,S
2132,CCCCO[C@H](c1ccccc1)c1cc(C)ccc1O,CCCCO[C@@H](c1ccccc1)c1cc(C)ccc1O,TR,L,@,R
2133,CCCCO[C@@H](c1ccccc1)c1cc(C)ccc1O,CCCCO[C@H](c1ccccc1)c1cc(C)ccc1O,TR,F,@@,S
2134,CCCCO[C@H](c1ccccc1)c1cc(OC)ccc1O,CCCCO[C@@H](c1ccccc1)c1cc(OC)ccc1O,TR,L,@,R
2135,CCCCO[C@@H](c1ccccc1)c1cc(OC)ccc1O,CCCCO[C@H](c1ccccc1)c1cc(OC)ccc1O,TR,F,@@,S
2136,CCCCO[C@H](c1ccccc1)c1ccccc1O,CCCCO[C@@H](c1ccccc1)c1ccccc1O,TR,L,@,R
2137,CCCCO[C@@H](c1ccccc1)c1ccccc1O,CCCCO[C@H](c1ccccc1)c1ccccc1O,TR,F,@@,S
2138,CCCCO[C@H](c1ccccc1O)c1ccccc1OC,CCCCO[C@@H](c1ccccc1O)c1ccccc1OC,TR,L,@,R
2139,CCCCO[C@@H](c1ccccc1O)c1ccccc1OC,CCCCO[C@H](c1ccccc1O)c1ccccc1OC,TR,F,@@,S
2140,CCCCO[C@H](c1ccsc1)c1ccccc1O,CCCCO[C@@H](c1ccsc1)c1ccccc1O,TR,L,@,S
2141,CCCCO[C@@H](c1ccsc1)c1ccccc1O,CCCCO[C@H](c1ccsc1)c1ccccc1O,TR,F,@@,R
2142,CCCCO[C@H](NC(=O)c1ccccc1)c1ccccc1CCCC(F)(F)F,CCCCO[C@@H](NC(=O)c1ccccc1)c1ccccc1CCCC(F)(F)F,TR,L,@,S
2143,CCCCO[C@@H](NC(=O)c1ccccc1)c1ccccc1CCCC(F)(F)F,CCCCO[C@H](NC(=O)c1ccccc1)c1ccccc1CCCC(F)(F)F,TR,F,@@,R
2144,CCCC[P@@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,CCCC[P@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,TR,L,@@,R
2145,CCCC[P@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,CCCC[P@@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,TR,F,@,S
2146,CCCOC(=O)[C@]1(/C=C/c2ccccc2)NS(=O)(=O)Oc2ccccc21,CCCOC(=O)[C@@]1(/C=C/c2ccccc2)NS(=O)(=O)Oc2ccccc21,TR,F,@,R
2147,CCCOC(=O)[C@@]1(/C=C/c2ccccc2)NS(=O)(=O)Oc2ccccc21,CCCOC(=O)[C@]1(/C=C/c2ccccc2)NS(=O)(=O)Oc2ccccc21,TR,L,@@,S
2148,CCC[P@](=O)(/C=C/c1ccccc1)c1ccccc1C,CCC[P@@](=O)(/C=C/c1ccccc1)c1ccccc1C,TR,F,@,S
2149,CCC[P@@](=O)(/C=C/c1ccccc1)c1ccccc1C,CCC[P@](=O)(/C=C/c1ccccc1)c1ccccc1C,TR,L,@@,R
2150,CCC[P@](=O)(/C=C/c1ccccc1Br)c1ccccc1C,CCC[P@@](=O)(/C=C/c1ccccc1Br)c1ccccc1C,TR,F,@,S
2151,CCC[P@@](=O)(/C=C/c1ccccc1Br)c1ccccc1C,CCC[P@](=O)(/C=C/c1ccccc1Br)c1ccccc1C,TR,L,@@,R
2152,CCC[P@](=O)(/C=C/c1ccccc1C)c1ccccc1C,CCC[P@@](=O)(/C=C/c1ccccc1C)c1ccccc1C,TR,L,@,S
2153,CCC[P@@](=O)(/C=C/c1ccccc1C)c1ccccc1C,CCC[P@](=O)(/C=C/c1ccccc1C)c1ccccc1C,TR,F,@@,R
2154,CCC[P@](=O)(/C=C/c1ccccc1Cl)c1ccccc1C,CCC[P@@](=O)(/C=C/c1ccccc1Cl)c1ccccc1C,TR,F,@,S
2155,CCC[P@@](=O)(/C=C/c1ccccc1Cl)c1ccccc1C,CCC[P@](=O)(/C=C/c1ccccc1Cl)c1ccccc1C,TR,L,@@,R
2156,CCC[P@](=O)(c1cc(C)cc(C)c1)c1ccccc1C,CCC[P@@](=O)(c1cc(C)cc(C)c1)c1ccccc1C,TR,F,@,S
2157,CCC[P@@](=O)(c1cc(C)cc(C)c1)c1ccccc1C,CCC[P@](=O)(c1cc(C)cc(C)c1)c1ccccc1C,TR,L,@@,R
2158,CCC[P@](=O)(c1cc(OC)cc(OC)c1)c1ccccc1C,CCC[P@@](=O)(c1cc(OC)cc(OC)c1)c1ccccc1C,TR,F,@,S
2159,CCC[P@@](=O)(c1cc(OC)cc(OC)c1)c1ccccc1C,CCC[P@](=O)(c1cc(OC)cc(OC)c1)c1ccccc1C,TR,L,@@,R
2160,CCC[P@](=O)(c1ccc(C(=O)OC)cc1)c1ccccc1C,CCC[P@@](=O)(c1ccc(C(=O)OC)cc1)c1ccccc1C,TR,F,@,S
2161,CCC[P@@](=O)(c1ccc(C(=O)OC)cc1)c1ccccc1C,CCC[P@](=O)(c1ccc(C(=O)OC)cc1)c1ccccc1C,TR,L,@@,R
2162,CCC[P@](=O)(c1ccc(C(F)(F)F)cc1)c1ccccc1C,CCC[P@@](=O)(c1ccc(C(F)(F)F)cc1)c1ccccc1C,TR,F,@,S
2163,CCC[P@@](=O)(c1ccc(C(F)(F)F)cc1)c1ccccc1C,CCC[P@](=O)(c1ccc(C(F)(F)F)cc1)c1ccccc1C,TR,L,@@,R
2164,CCC[P@](=O)(c1cccc(C)c1)c1ccccc1C,CCC[P@@](=O)(c1cccc(C)c1)c1ccccc1C,TR,F,@,S
2165,CCC[P@@](=O)(c1cccc(C)c1)c1ccccc1C,CCC[P@](=O)(c1cccc(C)c1)c1ccccc1C,TR,L,@@,R
2166,CCC[P@](=O)(c1cccc(Cl)c1)c1ccccc1C,CCC[P@@](=O)(c1cccc(Cl)c1)c1ccccc1C,TR,F,@,S
2167,CCC[P@@](=O)(c1cccc(Cl)c1)c1ccccc1C,CCC[P@](=O)(c1cccc(Cl)c1)c1ccccc1C,TR,L,@@,R
2168,CCC[P@](=O)(c1cccc(OC)c1)c1ccccc1C,CCC[P@@](=O)(c1cccc(OC)c1)c1ccccc1C,TR,F,@,S
2169,CCC[P@@](=O)(c1cccc(OC)c1)c1ccccc1C,CCC[P@](=O)(c1cccc(OC)c1)c1ccccc1C,TR,L,@@,R
2170,CCC[P@@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,CCC[P@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,TR,L,@@,R
2171,CCC[P@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,CCC[P@@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,TR,F,@,S
2172,CCC[P@@](=O)(c1ccccc1)c1ccc(C(C)(C)C)cc1,CCC[P@](=O)(c1ccccc1)c1ccc(C(C)(C)C)cc1,TR,F,@@,R
2173,CCC[P@](=O)(c1ccccc1)c1ccc(C(C)(C)C)cc1,CCC[P@@](=O)(c1ccccc1)c1ccc(C(C)(C)C)cc1,TR,L,@,S
2174,CCC[P@@](=O)(c1ccccc1)c1cccc(C)c1,CCC[P@](=O)(c1ccccc1)c1cccc(C)c1,TR,F,@@,R
2175,CCC[P@](=O)(c1ccccc1)c1cccc(C)c1,CCC[P@@](=O)(c1ccccc1)c1cccc(C)c1,TR,L,@,S
2176,CCC[P@](=O)(c1ccccc1)c1ccccc1C,CCC[P@@](=O)(c1ccccc1)c1ccccc1C,TR,F,@,S
2177,CCC[P@@](=O)(c1ccccc1)c1ccccc1C,CCC[P@](=O)(c1ccccc1)c1ccccc1C,TR,L,@@,R
2178,CCC[P@@](=O)(c1ccccc1C)c1cccc2ccccc12,CCC[P@](=O)(c1ccccc1C)c1cccc2ccccc12,TR,F,@@,R
2179,CCC[P@](=O)(c1ccccc1C)c1cccc2ccccc12,CCC[P@@](=O)(c1ccccc1C)c1cccc2ccccc12,TR,L,@,S
2180,CCC[P@@](=O)(c1ccccc1C)c1ccccc1C1OCCO1,CCC[P@](=O)(c1ccccc1C)c1ccccc1C1OCCO1,TR,F,@@,R
2181,CCC[P@](=O)(c1ccccc1C)c1ccccc1C1OCCO1,CCC[P@@](=O)(c1ccccc1C)c1ccccc1C1OCCO1,TR,L,@,S
2182,CCC[P@](=O)(c1cccnc1)c1ccccc1C,CCC[P@@](=O)(c1cccnc1)c1ccccc1C,TR,F,@,R
2183,CCC[P@@](=O)(c1cccnc1)c1ccccc1C,CCC[P@](=O)(c1cccnc1)c1ccccc1C,TR,L,@@,S
2184,CCC[P@](=O)(Cc1ccccc1)c1ccccc1C,CCC[P@@](=O)(Cc1ccccc1)c1ccccc1C,TR,L,@,S
2185,CCC[P@@](=O)(Cc1ccccc1)c1ccccc1C,CCC[P@](=O)(Cc1ccccc1)c1ccccc1C,TR,F,@@,R
2186,CCN(CC)C(=O)C1=C(c2ccccc2)NC(=O)N[C@@H]1c1ccccc1,CCN(CC)C(=O)C1=C(c2ccccc2)NC(=O)N[C@H]1c1ccccc1,TR,L,@@,R
2187,CCN(CC)C(=O)C1=C(c2ccccc2)NC(=O)N[C@H]1c1ccccc1,CCN(CC)C(=O)C1=C(c2ccccc2)NC(=O)N[C@@H]1c1ccccc1,TR,F,@,S
2188,CCN(CC)C(=O)[C@H]1CCc2ccccc2N1,CCN(CC)C(=O)[C@@H]1CCc2ccccc2N1,TR,L,@,R
2189,CCN(CC)C(=O)[C@@H]1CCc2ccccc2N1,CCN(CC)C(=O)[C@H]1CCc2ccccc2N1,TR,F,@@,S
2190,CCN1C(=O)[C@@]2(C=Cc3ccccc3C2=O)c2c1ccc1ccccc21,CCN1C(=O)[C@]2(C=Cc3ccccc3C2=O)c2c1ccc1ccccc21,TR,L,@@,S
2191,CCN1C(=O)[C@]2(C=Cc3ccccc3C2=O)c2c1ccc1ccccc21,CCN1C(=O)[C@@]2(C=Cc3ccccc3C2=O)c2c1ccc1ccccc21,TR,F,@,R
2192,CCOC(=O)C(=NCCc1c(C[C@@](O)(C(=O)OCC)C(F)(F)F)[nH]c2ccccc12)C(F)(F)F,CCOC(=O)C(=NCCc1c(C[C@](O)(C(=O)OCC)C(F)(F)F)[nH]c2ccccc12)C(F)(F)F,TR,F,@@,R
2193,CCOC(=O)C(=NCCc1c(C[C@](O)(C(=O)OCC)C(F)(F)F)[nH]c2ccccc12)C(F)(F)F,CCOC(=O)C(=NCCc1c(C[C@@](O)(C(=O)OCC)C(F)(F)F)[nH]c2ccccc12)C(F)(F)F,TR,L,@,S
2194,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccc(-c2ccccc2)cc1,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccc(-c2ccccc2)cc1,TR,F,@@,R
2195,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccc(-c2ccccc2)cc1,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccc(-c2ccccc2)cc1,TR,L,@,S
2196,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccc(C(F)(F)F)cc1,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccc(C(F)(F)F)cc1,TR,F,@@,R
2197,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccc(C(F)(F)F)cc1,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccc(C(F)(F)F)cc1,TR,L,@,S
2198,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccc(C)cc1,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccc(C)cc1,TR,F,@@,R
2199,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccc(C)cc1,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccc(C)cc1,TR,L,@,S
2200,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccc(F)cc1,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccc(F)cc1,TR,F,@@,R
2201,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccc(F)cc1,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccc(F)cc1,TR,L,@,S
2202,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccc(OC)cc1,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccc(OC)cc1,TR,F,@@,R
2203,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccc(OC)cc1,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccc(OC)cc1,TR,L,@,S
2204,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccc(OC)cc1OC,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccc(OC)cc1OC,TR,F,@@,R
2205,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccc(OC)cc1OC,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccc(OC)cc1OC,TR,L,@,S
2206,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccc2ccccc2c1,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccc2ccccc2c1,TR,F,@@,R
2207,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccc2ccccc2c1,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccc2ccccc2c1,TR,L,@,S
2208,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccccc1,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccccc1,TR,F,@@,R
2209,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccccc1,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccccc1,TR,L,@,S
2210,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccccc1C,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccccc1C,TR,F,@@,R
2211,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccccc1C,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccccc1C,TR,L,@,S
2212,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccccc1OC,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccccc1OC,TR,F,@@,R
2213,CCOC(=O)C(C(=O)OCC)[C@H](CC=O)c1ccccc1OC,CCOC(=O)C(C(=O)OCC)[C@@H](CC=O)c1ccccc1OC,TR,L,@,S
2214,CCOC(=O)C(C)(C)Oc1ccc([S@](=O)Cc2ccccc2)cc1,CCOC(=O)C(C)(C)Oc1ccc([S@@](=O)Cc2ccccc2)cc1,TR,F,@,R
2215,CCOC(=O)C(C)(C)Oc1ccc([S@@](=O)Cc2ccccc2)cc1,CCOC(=O)C(C)(C)Oc1ccc([S@](=O)Cc2ccccc2)cc1,TR,L,@@,S
2216,CCOC(=O)[C@@H](C)OCC=Cc1ccccc1,CCOC(=O)[C@H](C)OCC=Cc1ccccc1,TR,L,@@,R
2217,CCOC(=O)[C@H](C)OCC=Cc1ccccc1,CCOC(=O)[C@@H](C)OCC=Cc1ccccc1,TR,F,@,S
2218,CCOC(=O)[C@](C[N+](=O)[O-])(O/N=C/c1ccc(OC)cc1)c1ccc(-n2c(C)ccc2C)cc1,CCOC(=O)[C@@](C[N+](=O)[O-])(O/N=C/c1ccc(OC)cc1)c1ccc(-n2c(C)ccc2C)cc1,TR,F,@,S
2219,CCOC(=O)[C@@](C[N+](=O)[O-])(O/N=C/c1ccc(OC)cc1)c1ccc(-n2c(C)ccc2C)cc1,CCOC(=O)[C@](C[N+](=O)[O-])(O/N=C/c1ccc(OC)cc1)c1ccc(-n2c(C)ccc2C)cc1,TR,L,@@,R
2220,CCOC(=O)[C@](C[N+](=O)[O-])(O/N=C/c1ccc(OC)cc1)c1ccc(C2(C)OCCO2)cc1,CCOC(=O)[C@@](C[N+](=O)[O-])(O/N=C/c1ccc(OC)cc1)c1ccc(C2(C)OCCO2)cc1,TR,F,@,S
2221,CCOC(=O)[C@@](C[N+](=O)[O-])(O/N=C/c1ccc(OC)cc1)c1ccc(C2(C)OCCO2)cc1,CCOC(=O)[C@](C[N+](=O)[O-])(O/N=C/c1ccc(OC)cc1)c1ccc(C2(C)OCCO2)cc1,TR,L,@@,R
2222,CCOC(=O)[C@H](c1ccccc1)c1c(C)n(Cc2ccccc2)c2ccccc12,CCOC(=O)[C@@H](c1ccccc1)c1c(C)n(Cc2ccccc2)c2ccccc12,TR,L,@,R
2223,CCOC(=O)[C@@H](c1ccccc1)c1c(C)n(Cc2ccccc2)c2ccccc12,CCOC(=O)[C@H](c1ccccc1)c1c(C)n(Cc2ccccc2)c2ccccc12,TR,F,@@,S
2224,CCOC(=O)[C@H](CC=O)Cc1ccc(C#N)cc1,CCOC(=O)[C@@H](CC=O)Cc1ccc(C#N)cc1,TR,F,@,S
2225,CCOC(=O)[C@@H](CC=O)Cc1ccc(C#N)cc1,CCOC(=O)[C@H](CC=O)Cc1ccc(C#N)cc1,TR,L,@@,R
2226,CCOC(=O)[C@](O)(Cc1[nH]c2ccc(B3OC(C)(C)C(C)(C)O3)cc2c1C)C(F)(F)F,CCOC(=O)[C@@](O)(Cc1[nH]c2ccc(B3OC(C)(C)C(C)(C)O3)cc2c1C)C(F)(F)F,TR,F,@,R
2227,CCOC(=O)[C@@](O)(Cc1[nH]c2ccc(B3OC(C)(C)C(C)(C)O3)cc2c1C)C(F)(F)F,CCOC(=O)[C@](O)(Cc1[nH]c2ccc(B3OC(C)(C)C(C)(C)O3)cc2c1C)C(F)(F)F,TR,L,@@,S
2228,CCOC(=O)[C@](O)(Cc1[nH]c2ccc(Br)cc2c1C)C(F)(F)F,CCOC(=O)[C@@](O)(Cc1[nH]c2ccc(Br)cc2c1C)C(F)(F)F,TR,F,@,R
2229,CCOC(=O)[C@@](O)(Cc1[nH]c2ccc(Br)cc2c1C)C(F)(F)F,CCOC(=O)[C@](O)(Cc1[nH]c2ccc(Br)cc2c1C)C(F)(F)F,TR,L,@@,S
2230,CCOC(=O)[C@](O)(Cc1[nH]c2ccc(C(C)C)cc2c1C)C(F)(F)F,CCOC(=O)[C@@](O)(Cc1[nH]c2ccc(C(C)C)cc2c1C)C(F)(F)F,TR,F,@,R
2231,CCOC(=O)[C@@](O)(Cc1[nH]c2ccc(C(C)C)cc2c1C)C(F)(F)F,CCOC(=O)[C@](O)(Cc1[nH]c2ccc(C(C)C)cc2c1C)C(F)(F)F,TR,L,@@,S
2232,CCOC(=O)[C@](O)(Cc1[nH]c2ccc(C)cc2c1C)C(F)(F)F,CCOC(=O)[C@@](O)(Cc1[nH]c2ccc(C)cc2c1C)C(F)(F)F,TR,F,@,R
2233,CCOC(=O)[C@@](O)(Cc1[nH]c2ccc(C)cc2c1C)C(F)(F)F,CCOC(=O)[C@](O)(Cc1[nH]c2ccc(C)cc2c1C)C(F)(F)F,TR,L,@@,S
2234,CCOC(=O)[C@](O)(Cc1[nH]c2ccc(F)cc2c1C)C(F)(F)F,CCOC(=O)[C@@](O)(Cc1[nH]c2ccc(F)cc2c1C)C(F)(F)F,TR,F,@,R
2235,CCOC(=O)[C@@](O)(Cc1[nH]c2ccc(F)cc2c1C)C(F)(F)F,CCOC(=O)[C@](O)(Cc1[nH]c2ccc(F)cc2c1C)C(F)(F)F,TR,L,@@,S
2236,CCOC(=O)[C@](O)(Cc1[nH]c2ccc(OC(F)(F)F)cc2c1C)C(F)(F)F,CCOC(=O)[C@@](O)(Cc1[nH]c2ccc(OC(F)(F)F)cc2c1C)C(F)(F)F,TR,F,@,R
2237,CCOC(=O)[C@@](O)(Cc1[nH]c2ccc(OC(F)(F)F)cc2c1C)C(F)(F)F,CCOC(=O)[C@](O)(Cc1[nH]c2ccc(OC(F)(F)F)cc2c1C)C(F)(F)F,TR,L,@@,S
2238,CCOC(=O)[C@](O)(Cc1[nH]c2ccc(OS(=O)(=O)C(F)(F)F)cc2c1C)C(F)(F)F,CCOC(=O)[C@@](O)(Cc1[nH]c2ccc(OS(=O)(=O)C(F)(F)F)cc2c1C)C(F)(F)F,TR,L,@,R
2239,CCOC(=O)[C@@](O)(Cc1[nH]c2ccc(OS(=O)(=O)C(F)(F)F)cc2c1C)C(F)(F)F,CCOC(=O)[C@](O)(Cc1[nH]c2ccc(OS(=O)(=O)C(F)(F)F)cc2c1C)C(F)(F)F,TR,F,@@,S
2240,CCOC(=O)/C=C/[C@H](CC)N1C(=O)c2ccccc2C1=O,CCOC(=O)/C=C/[C@@H](CC)N1C(=O)c2ccccc2C1=O,TR,F,@,S
2241,CCOC(=O)/C=C/[C@@H](CC)N1C(=O)c2ccccc2C1=O,CCOC(=O)/C=C/[C@H](CC)N1C(=O)c2ccccc2C1=O,TR,L,@@,R
